Comment,Designator,Footprint,LCSC
AHI050,T3,AHI050-TH,
EI30-15.5,T2,EI30-15.5-TH,
D,D2,D_DO-41_SOD81_P12.70mm_Horizontal,
EI30-15.5,T1,EI30-15.5-TH,
CP1,C3,CP_Radial_D12.5mm_P5.00mm,
Conn_02x05_Odd_Even,J11,IDC-Header_2x05_P2.54mm_Vertical,
1K,R1,R_Axial_DIN0309_L9.0mm_D3.2mm_P15.24mm_Horizontal,
LED,D5,LED_D5.0mm_Clear,
Conn_02x05_Odd_Even,J9,IDC-Header_2x05_P2.54mm_Vertical,
Conn_02x05_Odd_Even,J8,IDC-Header_2x05_P2.54mm_Vertical,
Conn_02x05_Odd_Even,J7,IDC-Header_2x05_P2.54mm_Vertical,
Conn_02x05_Odd_Even,J6,IDC-Header_2x05_P2.54mm_Vertical,
Conn_02x05_Odd_Even,J10,IDC-Header_2x05_P2.54mm_Vertical,
Conn_02x05_Odd_Even,J5,IDC-Header_2x05_P2.54mm_Vertical,
Conn_02x05_Odd_Even,J4,IDC-Header_2x05_P2.54mm_Vertical,
D,D4,D_DO-41_SOD81_P12.70mm_Horizontal,
D,D3,D_DO-41_SOD81_P12.70mm_Horizontal,
D,D1,D_DO-41_SOD81_P12.70mm_Horizontal,
CP1,C2,CP_Radial_D12.5mm_P5.00mm,
CP1,C1,CP_Radial_D12.5mm_P5.00mm,
Conn_01x02,J3,WE 691411410002 - 2 Pin Wire-To-Board Terminal Block,
Conn_01x02,J2,WE 691411410002 - 2 Pin Wire-To-Board Terminal Block,
Conn_01x02,J1,WE 691411410002 - 2 Pin Wire-To-Board Terminal Block,
