Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C8",0603,2,Cap,
"C10, C11",1206,2,Cap,
C13,CP_EIA-3528-21_Kemet-B,1,100 uF,
"D1, D15, D2, D3, D4",D_SOD-323,5,Schottky Diode,
"D5, D6, D7",0603,3,LED0,
"H1, H2",MountingHole_3.2mm_M3_Pad_Via,2,MountingHole,
"J1, J3, J4, J5, J6",TerminalBlock_TE_282834-4_1x04_P2.54mm_Horizontal,5,Conn_01x04,
J2,Molex_Mini-Fit_Jr_5566-06A_2x03_P4.20mm_Vertical,1,Conn_02x03_Top_Bottom,
P1,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,1,Header 3,
P6,PinHeader_1x03_P2.54mm_Vertical,1,Header 3,
"R1, R10, R16, R17, R2, R3, R4, R5, R6, R7, R9",0603,11,Res Semi Small,
"R11, R12, R13",0603,3,Res Semi,
U1,QFN-20-1EP_3x3mm_P0.4mm_EP1.65x1.65mm,1,ATTiny1616-MFR,
U2,SOT-23-5,1,TPS70950,
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,THVD1400D,
